date,Affordability Index,\hspace{2mm} Monthly Payment (\$),\hspace{4mm} Median Home Price (\$),\hspace{4mm} Mortgage Rate (\%),\hspace{2mm} Median Monthly Earnings (\$)
2010-05-01,87.86863974964476,1099.4169770487038,230500.0,4.8875,3216.922333888169
2010-06-01,91.62022314843719,1029.0264078430687,219500.0,4.7375,3139.511649436816
2010-07-01,96.84648702310903,974.4841571069285,212100.0,4.564,3142.699730273534
2010-08-01,92.49093429530147,1024.567332720989,226600.0,4.4275,3155.614222065249
2010-09-01,95.33071186883902,1021.0264477419717,228000.0,4.346,3241.2614307351323
2010-10-01,108.09057411827776,901.3994137810046,204200.0,4.225,3244.511578844078
2010-11-01,99.73296023205792,978.0639176525082,219600.0,4.3,3248.255486461491
2010-12-01,86.38930470313498,1127.6863571633492,241200.0,4.714,3244.0873426078106
2011-01-01,87.80448053154711,1127.879068535452,240100.0,4.755,3297.793429314848
2011-02-01,93.97079406377777,1057.6468446026602,220100.0,4.9525,3309.6175304178196
2011-03-01,94.03413155395029,1045.5210543762212,220500.0,4.836,3273.878323508959
2011-04-01,91.8970400525206,1065.9257310346245,224700.0,4.84,3261.915472610109
2011-05-01,95.92455915373944,1028.746012923483,222000.0,4.6375,3286.11085876938
2011-06-01,88.28268828314377,1096.6371701694889,240200.0,4.51,3223.9087792109367
2011-07-01,91.73329084850563,1053.9221835993044,229900.0,4.545,3219.435681653578
2011-08-01,96.4557734252313,974.5854761731225,219600.0,4.27,3130.346382580086
2011-09-01,106.55248092397092,944.3663034553603,217000.0,4.106,3350.798265387801
2011-10-01,101.04653484152004,973.7963869354238,224800.0,4.0675,3276.678393015854
2011-11-01,107.52854277966517,919.9571357113787,214300.0,3.9925,3294.090952419214
2011-12-01,106.46034259478921,934.5093330285371,218600.0,3.9579999999999997,3312.956518949792
2012-01-01,106.27122010616998,942.8350464783067,221700.0,3.915,3336.5344839119675
2012-02-01,98.30254905520806,1017.1422597616013,239900.0,3.8899999999999997,3329.589640315122
2012-03-01,97.57452554124175,1024.642460635439,239800.0,3.9539999999999997,3329.3007647989175
2012-04-01,100.25796502278826,1004.7405619215789,236400.0,3.91,3354.4170289998724
2012-05-01,99.56865598014565,1002.8678981520943,239200.0,3.7979999999999996,3325.145151196433
2012-06-01,103.42529814462769,960.5987155283183,232600.0,3.675,3308.361944743728
2012-07-01,101.58216358471373,965.4021616157264,237400.0,3.55,3265.6524221992895
2012-08-01,92.70703216089966,1036.3019410604018,253200.0,3.6019999999999994,3199.2134966970375
2012-09-01,97.1646039152315,1028.621253837638,254600.0,3.4975,3328.1877043738327
