date,RUT,MA
2020-04-28,1298.079956,1514.3012253833992
2020-04-29,1360.76001,1513.3620950474308
2020-04-30,1310.660034,1512.2532020553358
2020-05-01,1260.47998,1511.0045853557313
2020-05-04,1263.969971,1509.744980403162
2020-05-05,1273.51001,1508.399091035573
2020-05-06,1263.01001,1507.007905383399
2020-05-07,1282.930054,1505.8245852055334
2020-05-08,1329.640015,1504.85490158498
2020-05-11,1321.23999,1503.8714230513835
2020-05-12,1275.540039,1502.6957315454545
2020-05-13,1233.25,1501.5504746284585
2020-05-14,1237.550049,1500.3429251818184
2020-05-15,1256.98999,1499.191620715415
2020-05-18,1333.689941,1498.3080236837943
2020-05-19,1307.719971,1497.4066796561265
2020-05-20,1346.930054,1496.7030041343874
2020-05-21,1347.560059,1495.9216209683796
2020-05-22,1355.530029,1495.2255736324112
2020-05-26,1393.069946,1494.797470632411
2020-05-27,1436.359985,1494.4901583794465
2020-05-28,1400.670044,1494.0816604505928
2020-05-29,1394.040039,1493.702569889328
2020-06-01,1405.369995,1493.3857318102766
2020-06-02,1418.209961,1493.1988542252966
2020-06-03,1452.089966,1493.12814270751
2020-06-04,1452.060059,1492.904822549407
2020-06-05,1507.150024,1492.9062454150198
2020-06-08,1536.890015,1493.0548619209485
2020-06-09,1507.050049,1493.0258501976284
2020-06-10,1467.390015,1492.803834213439
2020-06-11,1356.219971,1492.1600001660079
2020-06-12,1387.680054,1491.6378263122529
2020-06-15,1419.609985,1491.1785770474307
2020-06-16,1452.26001,1490.9009486284585
2020-06-17,1426.530029,1490.48110684585
2020-06-18,1427.329956,1489.995336
2020-06-19,1418.630005,1489.4540318458496
2020-06-22,1433.530029,1488.940356110672
2020-06-23,1439.339966,1488.5044271027666
2020-06-24,1389.73999,1487.949723679842
2020-06-25,1413.310059,1487.5239134822134
2020-06-26,1378.780029,1486.9582613636364
2020-06-29,1421.209961,1486.4628459960472
2020-06-30,1441.369995,1485.9679845296441
2020-07-01,1427.310059,1485.4175501936757
2020-07-02,1431.859985,1484.9089333794468
2020-07-06,1442.880005,1484.3981033794466
2020-07-07,1416.0,1483.7671943083005
2020-07-08,1427.400024,1483.2375896007904
2020-07-09,1398.920044,1482.5906729130436
2020-07-10,1422.680054,1482.027945660079
2020-07-13,1403.569946,1481.4178662213437
2020-07-14,1428.26001,1480.857629106719
2020-07-15,1478.27002,1480.5273922450592
2020-07-16,1467.560059,1480.1541118458497
2020-07-17,1473.319946,1479.8479455098816
2020-07-20,1467.949951,1479.5014235968379
2020-07-21,1487.51001,1479.2627278893283
2020-07-22,1490.140015,1479.0467594545455
2020-07-23,1490.199951,1478.7907910355732
2020-07-24,1467.550049,1478.3446645731226
2020-07-27,1484.650024,1478.0411075494071
2020-07-28,1469.76001,1477.609447624506
2020-07-29,1500.630005,1477.339091798419
2020-07-30,1495.099976,1476.9813842885376
2020-07-31,1480.430054,1476.609131596838
2020-08-03,1506.800049,1476.4353768102767
2020-08-04,1517.209961,1476.3703567588934
2020-08-05,1546.23999,1476.602886229249
2020-08-06,1544.619995,1476.770989110672
2020-08-07,1569.180054,1477.0417010197627
2020-08-10,1584.670044,1477.2493691581026
2020-08-11,1575.099976,1477.4946653517786
2020-08-12,1583.25,1477.839922173913
2020-08-13,1579.790039,1478.113479814229
