date,AVERAGE,MEDIAN
2016-12-01,478.1978776632758,408.8123032572319
2017-01-01,444.6021322769407,391.77688592030114
2017-02-01,459.06757305944507,369.23653649585594
2017-03-01,475.9035377213384,398.2782728536799
2017-04-01,451.53689944545323,384.016209451833
2017-05-01,466.6912202277584,399.1048595816665
2017-06-01,456.657025167888,388.3925912922782
2017-07-01,459.1918099891334,398.155304633435
2017-08-01,453.8868731136898,386.27100631723
2017-09-01,463.8475757538926,405.3927533941877
2017-10-01,482.12899380936744,390.9650089393221
2017-11-01,475.38720309402487,420.2006835070479
2017-12-01,493.2977089451737,420.3253995554186
2018-01-01,460.0597933569213,401.36502882594294
2018-02-01,452.8915888526091,396.6438112220924
2018-03-01,446.5480465149828,405.6668873269914
2018-04-01,463.9349404899699,378.761737964286
2018-05-01,447.016922905703,379.9523872362752
2018-06-01,443.31103183075453,371.9213060887579
2018-07-01,469.8708078379086,392.25768434084904
2018-08-01,455.96334028697663,384.7377725603421
2018-09-01,462.01034863868114,392.54140128902435
2018-10-01,471.3408719378374,391.8490966249481
2018-11-01,439.63210150850267,369.4538363262683
2018-12-01,458.7016227963684,396.10771355673825
2019-01-01,433.0066885964913,366.21501716247144
2019-02-01,458.05096053422795,383.0624299775296
2019-03-01,442.5389147213633,368.80221870795674
2019-04-01,455.20839294379135,400.4038536791523
2019-05-01,446.81609577807984,368.5555081767491
2019-06-01,426.45884681603644,367.4215762289035
2019-07-01,439.39395333065704,362.6911802191206
2019-08-01,462.00468198224183,384.7097810241739
2019-09-01,437.426441137409,371.1247714783123
2019-10-01,446.046298757315,378.13654146557553
2019-11-01,451.0970047587944,384.91107586078186
2019-12-01,443.6381003525649,387.02344206028624
2020-01-01,449.29478119633603,384.8256602486326
2020-02-01,450.63385057871176,387.1577204091573
2020-03-01,438.98740638862523,383.7923995118455
2020-04-01,424.16605548599983,365.0677041526743
2020-05-01,434.0465580317792,373.3012301379908
2020-06-01,447.4905417828756,399.3695023603843
2020-07-01,441.6271168386073,384.1957877430037
2020-08-01,448.6001231157519,377.99466754899623
2020-09-01,469.77779160903646,399.38650069156296
2020-10-01,457.4115765703489,402.11879349278774
2020-11-01,459.43088433648825,406.8880439920224
2020-12-01,465.4879995700147,423.3078572141558
2021-01-01,483.0169874073905,430.63052962359797
2021-02-01,467.6487563399667,415.43276023329554
2021-03-01,472.5642060277034,409.7759548771694
2021-04-01,491.42979622098915,425.64963490530016
2021-05-01,499.29445494901466,437.7376043388622
2021-06-01,479.8118794535068,416.26652287851124
2021-07-01,510.9043329194185,448.8793749519237
2021-08-01,518.5673710644924,446.07827259866866
2021-09-01,517.8229798403266,454.66310087127704
2021-10-01,532.2171785573541,466.30387614836457
2021-11-01,541.6689337573935,467.2817606170939
2021-12-01,531.5653259302301,443.8732864183184
2022-01-01,538.0803107260233,462.177920525844
2022-02-01,555.5511821680836,454.69662056422624
2022-03-01,537.3130975569036,457.6295021982303
2022-04-01,587.1576685609925,478.3706325295996
2022-05-01,538.5207939896544,465.4100131373677
2022-06-01,480.8008882559203,440.76810243291675
2022-07-01,575.5010746736151,487.17403772158394
2022-08-01,540.9528576396744,448.7218221905589
2022-09-01,539.0800234495026,485.79235465351337
2022-10-01,550.2714615518838,503.17478759244597
2022-11-01,534.707506272862,468.7054989570422
2022-12-01,578.3553513007206,487.6409195510736
2023-01-01,493.7612006551459,432.3185011866163
2023-02-01,503.4613242919825,434.6342082169925
2023-03-01,562.4,449.8
