Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2000:Q2,pct20to40,2749234,3245820,1169355,332063,274506,581755,96378,193348,598415,496585,279962,205768,10855
2000:Q2,pct00to20,1232274,1445487,588810,155732,134048,195638,9953,86866,274439,213212,105438,104770,3004
2000:Q3,pct99to100,8257499,8716172,1207665,321736,3273368,218257,396610,1573876,1724660,458672,294350,53319,111003
2000:Q3,pct80to99,19095006,22105439,5103611,1176341,4918518,3360173,2171072,2417164,2958559,3010433,2230244,494835,285354
2000:Q3,pct60to80,7123901,8772868,2657012,690122,1079716,1822467,886394,437721,1199436,1648967,1159986,454333,34648
2000:Q3,pct40to60,4111827,5101525,1653173,468047,522569,1051360,346697,268088,791591,989698,630575,341655,17468
2000:Q3,pct20to40,2776041,3291322,1216009,336507,270647,584183,98206,193990,591781,515282,285870,218453,10959
2000:Q3,pct00to20,1239569,1456013,603874,155422,136814,194962,9552,85008,270381,216445,109420,104478,2547
2000:Q4,pct99to100,7908846,8381644,1249856,337777,2751915,215465,383258,1604478,1838895,472798,300814,60045,111939
2000:Q4,pct80to99,18958564,22001343,5335074,1190603,4383748,3426281,2087449,2468828,3109360,3042779,2283771,516332,242676
2000:Q4,pct60to80,7082182,8763710,2726073,699409,983903,1818802,842072,440256,1253195,1681528,1175309,474528,31691
2000:Q4,pct40to60,4090991,5105223,1671875,468410,488803,1066559,330588,265388,813600,1014232,643218,353888,17126
2000:Q4,pct20to40,2767222,3303278,1239515,345362,249588,586279,95456,194582,592496,536055,290545,232158,13352
2000:Q4,pct00to20,1236834,1458524,611704,160194,127690,193823,9509,82169,273435,221690,111570,104317,5803
2001:Q1,pct99to100,7604483,8083842,1328891,349343,2340970,213885,356562,1618252,1875939,479359,306894,62877,109588
2001:Q1,pct80to99,19002984,22063844,5700637,1204735,3953372,3506202,1945175,2502648,3251075,3060860,2333073,517313,210474
2001:Q1,pct60to80,7105520,8790559,2858606,707607,904678,1822060,773061,439697,1284850,1685039,1187117,471672,26250
2001:Q1,pct40to60,4114751,5139924,1715163,469829,459867,1084512,305024,258595,846935,1025173,654246,355378,15549
2001:Q1,pct20to40,2813271,3356625,1296875,352351,230993,588822,90332,195140,602112,543354,294813,234650,13891
2001:Q1,pct00to20,1240856,1468836,637563,162883,120215,193132,9797,78980,266265,227980,113482,107835,6663
2001:Q2,pct99to100,7898090,8388268,1377309,356158,2551209,206850,372650,1663544,1860549,490179,315155,65847,109177
2001:Q2,pct80to99,19635759,22795196,5881189,1217201,4271398,3578381,2021374,2569699,3255954,3159437,2415767,527877,215793
2001:Q2,pct60to80,7286869,9012663,2934351,713746,967207,1854492,798408,445200,1299260,1725794,1224746,478558,22490
2001:Q2,pct40to60,4207055,5258860,1752498,471590,489643,1110379,317088,259682,857980,1051805,676229,360125,15451
2001:Q2,pct20to40,2854740,3409944,1332457,357037,239393,594152,93941,195981,596982,555204,301781,239432,13991
2001:Q2,pct00to20,1247925,1482766,647561,163063,130387,192786,9184,76655,263131,234842,116340,112410,6092
2001:Q3,pct99to100,7480655,7993788,1423861,359243,1988061,198377,343604,1693128,1987514,513133,328591,71077,113465
2001:Q3,pct80to99,19100851,22406656,6026612,1232636,3621774,3636944,1873125,2620091,3395474,3305805,2488663,534594,282548
2001:Q3,pct60to80,7244233,8996614,3020559,720780,843162,1879749,727379,447800,1357186,1752381,1247536,482584,22261
2001:Q3,pct40to60,4192556,5276209,1803416,475784,439710,1133789,290911,256914,875686,1083653,699762,365733,18158
2001:Q3,pct20to40,2850717,3421437,1369300,360813,212083,599167,88406,196789,594880,570721,309885,247096,13740
2001:Q3,pct00to20,1242086,1482269,659552,162104,116618,191950,9482,73994,268570,240183,123115,113266,3802
2001:Q4,pct99to100,7950531,8461024,1495648,375101,2388194,200113,358494,1680191,1963283,510493,333744,68491,108258
2001:Q4,pct80to99,19745605,23062146,6184308,1239926,4014752,3656818,1972203,2557220,3436919,3316540,2536136,561864,218540
2001:Q4,pct60to80,7496125,9310455,3073224,735407,924087,1970269,765578,461043,1380847,1814330,1287312,508510,18508
2001:Q4,pct40to60,4279602,5390640,1835603,486282,478443,1156092,300571,252255,881394,1111038,714646,379702,16690
2001:Q4,pct20to40,2886184,3475652,1390348,360921,224414,598571,89797,204129,607471,589467,319971,255905,13591
2001:Q4,pct00to20,1270894,1514583,671320,166663,127641,186581,9853,84463,268062,243689,119978,117355,6356
2002:Q1,pct99to100,8119547,8643958,1567436,391535,2467460,199990,370133,1705535,1941869,524411,352335,65053,107023
2002:Q1,pct80to99,19912666,23269828,6349124,1239262,3993428,3656974,2042623,2534639,3453778,3357162,2583593,558093,215476
