Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2001:Q4,GenX,8.2,12.6,11.6,17,5.8,8,5.5,3.4,3.9,2.4,2.8,3.2,0.1,6.4,18.6,2.4,9.1,2.1,5.9,15.8,23.2,23.2,21.4,32.2,12.6,3.5,18.7,5.6,26737207
2001:Q4,Millennial,0.1,0.1,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0.2,0.2,0.1,0.5,0,0,0.6,0,988997
2002:Q1,Silent,47.4,40.6,41.6,36,51.1,58.9,55.9,67.3,65.1,71.9,68.3,67.5,73.3,54.9,32.8,31.8,30.5,51.6,50,37,20,20,18.2,15.9,42.8,67.9,31.8,52.1,35021609
2002:Q1,BabyBoom,44.1,46.3,46.3,46.3,42.9,32.7,38.6,29.2,30.9,25.6,28.6,28.9,26.7,38.7,48.5,66.2,59.3,46.3,43.7,46.8,55.8,55.8,59.2,51.1,45.3,28.5,49.3,42.1,44035211
2002:Q1,GenX,8.5,12.9,11.9,17.3,6,8.4,5.5,3.5,4,2.4,3.1,3.5,0.1,6.4,18.1,1.9,10.1,2.1,6.2,15.9,24,24,22.4,32.4,11.9,3.6,18.2,5.8,27140105
2002:Q1,Millennial,0.1,0.2,0.1,0.4,0,0.1,0,0.1,0,0.1,0,0,0,0,0.6,0,0,0,0,0.3,0.3,0.3,0.2,0.6,0,0,0.7,0.1,1219053
2002:Q2,Silent,47.3,40.1,41.1,35.7,51.4,59,56,67.6,65.4,71.2,71.2,71,72.6,55.7,33.9,32.6,31.5,51.5,49,37,19.5,19.5,17.8,16,44,69.6,32.8,52.3,34828483
2002:Q2,BabyBoom,44.2,46.3,46.4,46.3,43,32.7,38.7,28.9,30.6,26.2,25.1,24.8,27.3,38.9,48,66.1,61.1,46.3,44.3,46.5,55.2,55.3,58.6,50.4,45.4,26.4,49.1,42.2,44057400
2002:Q2,GenX,8.4,13.3,12.4,17.6,5.6,8.3,5.3,3.4,3.9,2.6,3.6,4.2,0.1,5.4,17.5,1.3,7.4,2.1,6.6,16.1,24.9,24.9,23.4,32.9,10.6,4.1,17.3,5.5,27538417
2002:Q2,Millennial,0.1,0.2,0.2,0.5,0,0.1,0,0,0.1,0,0,0,0,0,0.7,0,0,0,0,0.3,0.3,0.3,0.2,0.7,0,0,0.8,0.1,1461077
2002:Q3,Silent,47.1,39.5,40.3,35.8,51.7,58.2,55.8,67.9,66,70.4,72.2,72.2,72,58.2,35,33.3,32.9,51.5,48,37,19.1,19,17.2,16.1,45,70.1,33.8,52.4,34649032
2002:Q3,BabyBoom,44.4,46.5,46.6,46.1,43.2,33,38.9,28.6,29.8,26.9,23.9,23.3,27.9,38.7,47.5,66,63.2,46.3,44.9,46.3,55.1,55.1,58.6,49.7,44.8,25.4,48.3,42.4,44064346
2002:Q3,GenX,8.3,13.8,12.9,17.6,5,8.7,5.3,3.4,4,2.7,3.9,4.5,0.1,3.1,16.8,0.7,3.9,2.2,7.1,16.3,25.4,25.5,23.9,33.4,10.3,4.4,17.1,5.1,27930823
2002:Q3,Millennial,0.1,0.2,0.2,0.5,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0.7,0,0,0,0,0.4,0.4,0.4,0.2,0.8,0,0,0.8,0.1,1714712
2002:Q4,Silent,46.6,39,39.7,35.8,51.2,58,54.3,68.4,66.7,70,74,74.4,71.5,56.9,36.1,31.6,31.6,51.3,47.3,37.1,18.6,18.6,16.8,16.2,45.9,68.4,34.8,52,34480118
2002:Q4,BabyBoom,44.7,46.6,46.8,46,43.5,33.1,39.6,28.1,29.1,27.2,21.7,20.6,28.4,39.6,47,67.1,63.4,46.5,45.5,45.9,54.9,55,58.4,49,44.6,27.1,48,42.7,44059302
2002:Q4,GenX,8.6,14.1,13.3,17.6,5.2,8.8,6,3.4,4.1,2.8,4.3,5,0.1,3.5,16.2,1.3,5.1,2.2,7.1,16.5,26,26.1,24.6,33.9,9.5,4.5,16.3,5.2,28316006
2002:Q4,Millennial,0.1,0.3,0.2,0.6,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0.8,0,0,0,0,0.4,0.4,0.4,0.3,1,0,0,0.8,0.1,1979602
2003:Q1,Silent,46.2,38.7,39.4,35.4,50.9,56.9,54.4,68,67.2,68.7,73.3,73.8,70.8,57.3,37.1,31,31.1,51.3,46.3,37.1,18.2,18.2,16.3,16.3,46.6,64.1,35.5,51.7,34318602
